Code,Description,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Colour,Standard Qty,Type,remark
Z01A2663,"Quick Release Plug 1/4""BSP MP352",Quick,Release,Plug,"1/4""BSP",MP352,,,,,,,,,,,,,-,1,-,-
Z01A2664,"Male Hose Barb 1/4""BSP to 1/2"" EH21/3",Male,Hose,Barb,"1/4""BSP",to,"1/2""",EH21/3,,,,,,,,,,,-,1,-,-
Z01A2683,ABS Shred Material Per Kg,ABS,Shred,Material,Per,Kg,,,,,,,,,,,,,-,1,-,-
Z01A2684,Polystyrene Shred Material Per Kg,Polystyrene,Shred,Material,Per,Kg,,,,,,,,,,,,,-,1,-,-
Z01A2686,170mm Dia x 308mm 5180W 380V (2 Ph) Mica Heater Band + 100cm,170mm,Dia,x,308mm,5180W,380V,(2,Ph),Mica Heater,Band,+,100cm,,,,,,-,1,-,-
Z01A2687,170mm Dia x 76mm 1280W 380V (2 Ph) Mica Heater Band + 100cm,170mm,Dia,x,76mm,1280W,380V,(2,Ph),Mica,Heater,Band,+,100cm,,,,,-,1,-,-
Z01A2688,138mm Dia x 150mm 2700W 240V Mica Heater Band + 100cm Lead,138mm,Dia,x,150mm,2700W,240V,Mica,Heater,Band,+,100cm,Lead,,,,,,-,1,-,-
Z01A2689,138mm Dia x 150mm 2000W 240V Mica Heater Band + 100cm Lead,138mm,Dia,x,150mm,2000W,240V,Mica,Heater,Band,+,100cm,Lead,,,,,,-,1,-,-
Z01A2690,70mm Dia x 54mm 350W 240V Mica Heater Band + 100cm Lead,70mm,Dia,x,54mm,350W,240V,Mica,Heater,Band,+,100cm,Lead,,,,,,-,1,-,-
Z01A2691,305Dia x 160mm 5300W 415V (2 Ph) Mica Heat Band + 100cm Lead,305Dia,x,160mm,5300W,415V,(2,Ph),Mica,Heat,Band,+,100cm,Lead,,,,,-,1,-,-
Z01A2692,305 Dia x 250mm 8300W 415V (2Ph) Mica Heat Band + 100cm Lead,305,Dia,x,250mm,8300W,415V,(2Ph),Mica,Heat,Band,+,100cm,Lead,,,,,-,1,-,-
Z01A2693,324 Dia x 160mm 5700W 415V (2Ph) Mica Heat Band + 100cm Lead,324,Dia,x,160mm,5700W,415V,(2Ph),Mica,Heat,Band,+,100cm,Lead,,,,,-,1,-,-
